Appellation;Cepage
Anjou;rouge
Anjou;rouge
Anjou;blanc
Anjou;rose
Anjou;blanc
Anjou;rose
Anjou ;rouge
Anjou ;blanc
Anjou ;rose
Anjou fines bulles;blanc
Anjou fines bulles;rouge
Anjou villages;rouge
Anjou villages brissac;rouge
Anjou-coteaux-de-la-loire;blanc
Arbois ;rouge
Arbois ;blanc
Arbois ;jaune
Arbois ;de_paille
Bandol;rouge
Bandol;blanc
Bandol;rose
Banyuls;rose
Barsac;blanc
Bartissol;vci_vsi
Bearn;rouge
Bearn;blanc
Bearn;rose
Bearn ;rouge
Bearn ;rouge
Bearn ;blanc
Bearn ;rose
Bearn ;blanc
Bearn ;rose
Beaumes-de-venise;rouge
Bellet ;rouge
Bellet ;blanc
Bellet ;rose
Bergerac ;rouge
Bergerac ;blanc
Bergerac ;rose
Blanquette de Limoux;blanc
Blaye ;rouge
Blaye-cotes-de-bordeaux;blanc
Bonnezeaux;blanc
Bordeaux ;rouge
Bordeaux ;blanc
Bordeaux ;rose
Bordeaux ;Clairet
Bordeaux-clairet;rose
Bordeaux-cotes-de-francs;rouge
Bordeaux-superieur;rouge
Bordeaux-superieur;blanc
Bourgueil ;rouge
Bourgueil ;rose
Brezeme;rouge
Brezeme;blanc
Brouilly;rouge
Brulhois;rouge
Brulhois;rose
Brulhois ;rouge
Brulhois ;rouge
Brulhois ;rose
Brulhois ;rose
Buzet ;rouge
Buzet ;blanc
Buzet ;rose
Cabardes ;rouge
Cabardes ;rose
Cabernet de Saumur;rouge
Cadillac ;blanc
Cahors;rouge
Cairanne;rouge
Cairanne;rose
Cairanne;blanc
Canon-fronsac;rouge
Caramany;rouge
Cassis ;rouge
Cassis ;blanc
Cassis ;rose
Cerdon ;rose
Cerons ;blanc
Chateau-chalon ;jaune
Chateau-grillet ;blanc
Chateaumeillant ;rouge
Chateaumeillant ;rouge
Chateaumeillant ;gris
Chateaumeillant ;gris
Chateauneuf-du-pape;rouge
Chateauneuf-du-pape;blanc
Chatillon-en-diois ;rouge
Chatillon-en-diois ;blanc
Chatillon-en-diois ;rose
Chaume;blanc
Chenas ;rouge
Cheverny ;rouge
Cheverny ;blanc
Cheverny ;rose
Chinon ;rouge
Chinon ;blanc
Chinon ;rose
Chiroubles ;rouge
Chusclan ;rouge
Chusclan ;rose
Clairette de Bellegarde;blanc
Clairette de Die;blanc
Clairette du Languedoc;blanc
Collioure;rouge
Collioure;blanc
Collioure;rose
Condrieu ;blanc
Condrieu ;blanc
Condrieu ;blanc
Corbieres ;rouge
Corbieres ;blanc
Corbieres ;rose
Corbieres-boutenac;rouge
Cornas;rouge
Costieres-de-nimes;rouge
Costieres-de-nimes;blanc
Costieres-de-nimes;rose
Coteaux-d'aix-en-provence;rouge
Coteaux-d'aix-en-provence;blanc
Coteaux-d'aix-en-provence;rose
Coteaux-d'ancenis;rouge
Coteaux-d'ancenis;rouge
Coteaux-d'ancenis;blanc
Coteaux-d'ancenis;blanc
Coteaux-d'ancenis;rose
Coteaux-d'ancenis;rose
Coteaux-de-die;blanc
Coteaux-de-l'aubance;blanc
Coteaux-de-saumur;blanc
Coteaux-du-giennois;rouge
Coteaux-du-giennois;rouge
Coteaux-du-giennois;blanc
Coteaux-du-giennois;rose
Coteaux-du-giennois;blanc
Coteaux-du-giennois;rose
Coteaux-du-languedoc;rouge
Coteaux-du-languedoc;rouge
Coteaux-du-languedoc;rouge
Coteaux-du-languedoc;blanc
Coteaux-du-languedoc;blanc
Coteaux-du-languedoc;blanc
Coteaux-du-languedoc;rose
Coteaux-du-languedoc;rose
Coteaux-du-languedoc;rose
Coteaux-du-layon;blanc
Coteaux-du-loir;rouge
Coteaux-du-loir;rouge
Coteaux-du-loir;blanc
Coteaux-du-loir;blanc
Coteaux-du-loir;rose
Coteaux-du-loir;rose
Coteaux-du-lyonnais;rouge
Coteaux-du-lyonnais;blanc
Coteaux-du-lyonnais;rose
Coteaux-du-vendomois;rouge
Coteaux-du-vendomois;blanc
Coteaux-du-vendomois;gris
Coteaux-varois-en-provence;blanc
Cote-de-brouilly;rouge
Cote-roannaise;rouge
Cote-roannaise;rose
Cote-rotie ;rouge
Cotes du Roussillon Villages;rouge
Cotes-d'auvergne;rouge
Cotes-d'auvergne;blanc
Cotes-d'auvergne;rose
Cotes-de-bergerac;rouge
Cotes-de-bergerac;blanc
Cotes-de-blaye;blanc
Cotes-de-bordeaux;blanc
Cotes-de-bordeaux-saint-macaire;blanc
Cotes-de-bourg;rouge
Cotes-de-bourg;blanc
Cotes-de-castillon;rouge
Cotes-de-duras;rouge
Cotes-de-duras;blanc
Cotes-de-duras;rose
Cotes-de-millau;rouge
Cotes-de-millau;blanc
Cotes-de-millau;rose
Cotes-de-montravel;blanc
Cotes-de-provence;rouge
Cotes-de-provence;rouge
Cotes-de-provence;blanc
Cotes-de-provence;rose
Cotes-de-provence;blanc
Cotes-de-provence;rose
Cotes-de-provence Frejus;rouge
Cotes-de-provence Frejus;rose
Cotes-de-provence La Londe;rouge
Cotes-de-provence La Londe;rose
Cotes-de-provence Sainte-Victoire;rouge
Cotes-de-provence Sainte-Victoire;rouge
Cotes-de-provence Sainte-Victoire;rose
Cotes-de-provence Sainte-Victoire;rose
Cotes-de-toul;rouge
Cotes-de-toul;blanc
Cotes-de-toul;gris
Cotes-du-forez;rouge
Cotes-du-forez;rose
Cotes-du-jura;rouge
Cotes-du-jura;blanc
Cotes-du-jura;rose
Cotes-du-jura;jaune
Cotes-du-jura;de_paille
Cotes-du-marmandais;rouge
Cotes-du-marmandais;blanc
Cotes-du-marmandais;rose
Cotes-du-rhone;rouge
Cotes-du-rhone;blanc
Cotes-du-rhone;rose
Cotes-du-rhone ;rouge
Cotes-du-rhone ;rouge
Cotes-du-rhone ;rouge
Cotes-du-rhone ;blanc
Cotes-du-rhone ;blanc
Cotes-du-rhone ;blanc
Cotes-du-rhone ;rose
Cotes-du-rhone ;rose
Cotes-du-rhone ;rose
Cotes-du-rhone villages;rouge
Cotes-du-rhone villages;rouge
Cotes-du-rhone villages;rouge
Cotes-du-rhone villages;rouge
Cotes-du-rhone villages;blanc
Cotes-du-rhone villages;blanc
Cotes-du-rhone villages;blanc
Cotes-du-rhone villages;blanc
Cotes-du-rhone villages;rose
Cotes-du-rhone villages;rose
Cotes-du-rhone villages;rose
Cotes-du-rhone villages;rose
Cotes-du-Roussillon;rouge
Cotes-du-Roussillon;blanc
Cotes-du-Roussillon;rose
Cotes-du-vivarais;rouge
Cotes-du-vivarais;rouge
Cotes-du-vivarais;blanc
Cotes-du-vivarais;blanc
Cotes-du-vivarais;rose
Cotes-du-vivarais;rose
Cour-cheverny ;blanc
Cremant de Limoux;blanc
Cremant de Loire;blanc
Cremant de Loire;rose
Cremant du Jura;blanc
Crozes-hermitage ;blanc
Domaine de La Rectorie;rouge
Domaine de La Rectorie;blanc
Domaine de La Rectorie;rose
Duche-d'uzes ;rouge
Duche-d'uzes ;blanc
Duche-d'uzes ;rose
Entraygues-et-du-fel;rouge
Entraygues-et-du-fel;blanc
Entraygues-et-du-fel;rose
Entre-deux-mers ;blanc
Estaing ;rouge
Estaing ;blanc
Estaing ;rose
Faugeres ;rouge
Faugeres ;blanc
Faugeres ;rose
Fiefs-vendeens;rouge
Fiefs-vendeens;blanc
Fiefs-vendeens;rose
Fitou ;rouge
Fronsac ;rouge
Fronton ;rouge
Fronton ;rouge
Fronton ;rose
Fronton ;rose
Gaillac;rouge
Gaillac;blanc
Gaillac;rose
Gaillac-premieres-cotes;blanc
Gigondas;rouge
Gigondas;rose
Graves ;rouge
Graves ;blanc
Graves-de-vayres;rouge
Graves-de-vayres;blanc
Gres-de-montpellier;rouge
Grignan-les-adhemar;rouge
Grignan-les-adhemar;rose
Grignan-les-adhemar;blanc
Gros-plant-du-pays-nantais;blanc
Haut-medoc;rouge
Haut-montravel;blanc
Haut-Poitou;rouge
Haut-Poitou;blanc
Haut-Poitou;rose
Haut-Poitou ;rouge
Haut-Poitou ;blanc
Haut-Poitou ;rose
Hermitage ;rouge
Hermitage ;blanc
Hermitage ;de_paille
Irouleguy;rouge
Irouleguy;blanc
Irouleguy;rose
Jasnieres;blanc
Julienas ;rouge
Julienas ;blanc
Jurancon;blanc
La Clape ;rouge
La Clape ;blanc
Lalande-de-pomerol ;rouge
Languedoc;rouge
Languedoc;blanc
Languedoc;rose
Languedoc ;rouge
Languedoc ;rouge
Languedoc ;rouge
Languedoc ;blanc
Languedoc ;blanc
Languedoc ;blanc
Languedoc ;rose
Languedoc ;rose
Languedoc ;rose
Laudun ;rouge
Laudun ;blanc
Laudun ;rose
Les-baux-de-provence;rouge
Les-baux-de-provence;rose
L'etoile;blanc
L'etoile;jaune
L'etoile;de_paille
Limoux;rouge
Limoux;blanc
Lirac ;rouge
Lirac ;blanc
Lirac ;rose
Listrac-medoc ;rouge
Loupiac ;blanc
Luberon;rouge
Luberon;blanc
Luberon;rose
Lussac-saint-emilion;rouge
Macvin du Jura;rouge
Macvin du Jura;blanc
Macvin du Jura;rose
Madargue;rouge
Madargue;blanc
Madargue;rose
Madiran;rouge
Madiran;rouge
Madiran ;rouge
Malepere ;rouge
Malepere ;rose
Manicle ;rouge
Manicle ;blanc
Marcillac ;rouge
Marcillac ;rose
Margaux ;rouge
Massif-d'uchaux;rouge
Maury;rouge
Maury;blanc
Medoc ;rouge
Menetou-salon ;rouge
Menetou-salon ;rose
Menetou-salon ;blanc
Minervois ;rouge
Minervois ;rouge
Minervois ;blanc
Minervois ;blanc
Minervois ;rose
Minervois ;rose
Monbazillac ;blanc
Montagne-saint-emilion;rouge
Montagnieu ;rouge
Montagnieu ;blanc
Montlouis-sur-Loire ;blanc
Montpeyroux;rouge
Montravel ;rouge
Montravel ;blanc
Morgon;rouge
Moselle;rouge
Moselle;blanc
Moselle;rose
Moselle ;rouge
Moselle ;blanc
Moselle ;rose
Moulin-a-vent ;rouge
Moulis-en-medoc ;rouge
Muscadet;blanc
Muscadet ;blanc
Muscadet ;blanc
Muscadet-coteaux-de-la-loire;blanc
Muscadet-coteaux-de-la-loire;blanc
Muscadet-cotes-de-grandlieu;blanc
Muscadet-cotes-de-grandlieu;blanc
Muscadet-sevre-et-maine;blanc
Muscadet-sevre-et-maine;blanc
Muscat de Beaumes-de-Venise;rouge
Muscat de Beaumes-de-Venise;blanc
Muscat de Frontignan;blanc
Muscat de Lunel;blanc
Muscat de Mireval;blanc
Muscat de Rivesaltes;blanc
Muscat de Saint-Jean-de-Minervois;blanc
Orleans ;rouge
Orleans ;rose
Orleans ;blanc
Orleans-clery;rouge
Pacherenc-du-vic-bilh;blanc
Pacherenc-du-vic-bilh;blanc
Pacherenc-du-vic-bilh;blanc
Palette ;rouge
Palette ;rose
Palette ;blanc
Pauillac ;rouge
Pecharmant;rouge
Pessac-leognan;rouge
Pessac-leognan;blanc
Pezenas;rouge
Picpoul de Pinet;blanc
Pic-saint-loup ;rouge
Pic-saint-loup ;rouge
Pic-saint-loup ;rose
Pic-saint-loup ;rose
Pierrevert ;rouge
Pierrevert ;blanc
Pierrevert ;rose
Plan-de-dieu;rouge
Pouilly-fume;blanc
Pouilly-sur-loire;blanc
Premieres-cotes-de-bordeaux;blanc
Puisseguin-saint-emilion;rouge
Puymeras;rouge
Puymeras ;rouge
Quarts-de-chaume;blanc
Quatourze;rouge
Quatourze;rose
Quincy ;blanc
Rasteau;rouge
Rasteau;rouge
Regnie;rouge
Reuilly ;rouge
Reuilly ;rouge
Reuilly ;rose
Reuilly ;rose
Reuilly ;blanc
Reuilly ;blanc
Rimage;rouge
Rivesaltes;rouge
Rivesaltes;blanc
Rivesaltes ;rouge
Rivesaltes ;blanc
Roaix;rouge
Roaix;rose
Roaix;blanc
Rochegude ;rouge
Rochegude ;rose
Rochegude ;blanc
Rose de Loire;rose
Rose des Riceys;rose
Rosette ;blanc
Rousset-les-vignes ;rouge
Rousset-les-vignes ;rose
Rousset-les-vignes ;blanc
Roussette du Bugey;blanc
Sablet;rouge
Sablet;rose
Sablet;blanc
Saint-chinian ;rouge
Saint-chinian ;rose
Saint-chinian ;blanc
Saint-drezery ;rouge
Saint-drezery ;rose
Sainte-Cecile-les-Vignes;rouge
Sainte-Cecile-les-Vignes;blanc
Sainte-Cecile-les-Vignes;rose
Sainte-croix-du-mont ;blanc
Sainte-foy-bordeaux;rouge
Sainte-foy-bordeaux;blanc
Saint-emilion ;rouge
Saint-emilion grand cru;rouge
Saint-estephe ;rouge
Saint-georges-saint-emilion ;rouge
Saint-gervais ;rouge
Saint-gervais ;rose
Saint-gervais ;blanc
Saint-joseph;rouge
Saint-joseph;blanc
Saint-joseph ;rouge
Saint-joseph ;blanc
Saint-julien ;rouge
Saint-maurice-sur-eygues ;rouge
Saint-maurice-sur-eygues ;rose
Saint-maurice-sur-eygues ;blanc
Saint-mont ;rouge
Saint-mont ;blanc
Saint-mont ;rose
Saint-nicolas-de-bourgueil ;rouge
Saint-nicolas-de-bourgueil ;rose
Saint-pantaleon-les-vignes ;rouge
Saint-pantaleon-les-vignes ;blanc
Saint-pantaleon-les-vignes ;rose
Saint-peray;blanc
Saint-pourcain;rouge
Saint-pourcain;blanc
Saint-pourcain;rose
Saint-sardos ;rouge
Saint-sardos ;rouge
Saint-sardos ;rose
Saint-sardos ;rose
Saint-sardos ;blanc
Saint-sardos ;blanc
Saint-saturnin ;rouge
Saint-saturnin ;rose
Sancerre ;rouge
Sancerre ;blanc
Sancerre ;rose
Saumur;rouge
Saumur;rose
Saumur;blanc
Saumur ;rouge
Saumur ;rose
Saumur ;blanc
Saumur brut;vci_vsi
Saumur-champigny;rouge
Saumur-champigny;rouge
Saussignac ;blanc
Sauternes ;blanc
Savennieres;blanc
Seguret;rouge
Seguret;rose
Seguret;blanc
Signargues ;rouge
Sommieres ;rouge
Suze-la-rousse ;rouge
Suze-la-rousse ;rose
Suze-la-rousse ;blanc
Tavel ;rose
Terrasses-de-beziers;rouge
Terrasses-du-larzac;rouge
Touraine ;rouge
Touraine ;rouge
Touraine ;blanc
Touraine ;rose
Touraine ;blanc
Touraine ;rose
Touraine-amboise;rouge
Touraine-amboise;rose
Touraine-amboise;blanc
Touraine-azay-le-rideau;rose
Touraine-azay-le-rideau;blanc
Touraine-mesland;rouge
Touraine-mesland;rose
Touraine-mesland;blanc
Touraine-noble-joue;rose
Vabe;vci_vsi
Vacqueyras;rouge
Vacqueyras;blanc
Vacqueyras;rose
Vaison-la-romaine;rouge
Vaison-la-romaine;rose
Vaison-la-romaine;blanc
Valencay ;rouge
Valencay ;rouge
Valencay ;blanc
Valencay ;rose
Valencay ;rose
Valencay ;blanc
Valreas;rouge
Valreas;blanc
Ventoux;rouge
Ventoux;blanc
Ventoux;rose
Vinsobres ;rouge
Virieu-le-grand ;blanc
Visan;rouge
Visan;rose
Visan;blanc
Vouvray ;blanc
